feedback_id,user_id,session_id,message_id,reported_at,negative_rating,category,additional_info
f5f33834-1344-40ea-a4ac-c26fe598b650,4a1e277d-4838-4c56-bd84-bf0ab4867ee4,,3a8b52c3-1327-45e7-9a43-3073ee7a8171,2026-03-05 07:57:38.242+00,true,Wrong result,"{""badges"":[""Wrong result"",""Confusing""],""comment"":"""",""include_context"":true,""contact_me"":false}"
647fd5fd-ceda-4dca-a730-c5db6319d262,4a1e277d-4838-4c56-bd84-bf0ab4867ee4,,6b46d9d5-5440-4590-83ea-ff9a05fa3715,2026-03-05 07:48:41.73+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
2983ea8e-c1b4-4c79-820d-af077868a707,d9d9e9e1-f3e5-4412-9a87-34a826de2781,,ddf3b885-2e4d-4d22-a104-0fcda1b2176c,2026-02-26 16:54:49.678+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
3d8b609e-a1ff-46eb-9cc1-53689a1fbb00,d9d9e9e1-f3e5-4412-9a87-34a826de2781,,088db4bb-35c7-4fdd-8929-c98261fd185c,2026-02-26 15:02:14.113+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
323bb0f2-be64-4906-becb-240103954e4c,91f195ba-eeee-46d9-9f80-56e68ef2b2a7,,a88f42a8-7dac-4a8e-9c22-3b931f107457,2026-02-24 22:19:51.834+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
d1050e18-887a-4eff-baa8-05886b3704a0,e2c6f468-355e-4800-b866-4467999b65c7,,4d245420-36dc-4772-ac40-7429ec887fb4,2026-02-24 19:02:34.698+00,true,Didn't work,"{""badges"":[""Didn't work""],""comment"":""we should incorporate email mcp to be able to do that and similarly for the linkedin posts"",""include_context"":true,""contact_me"":false}"
8928f39e-852c-4351-a766-6bb6f78ac06a,77f33b2d-557c-416a-b4e5-388ce413048f,,38d4b617-6452-43ad-97f8-2264d26ea098,2026-02-24 17:54:38.231+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
e076b373-47a6-4296-970b-eba7e5b09f52,c8e8e513-8d1e-4f3c-9381-26bcf6cddf75,,fc513dde-2392-483e-9e9b-08ac50dc9b55,2026-02-23 20:38:33.815+00,true,Other,"{""badges"":[],""comment"":""Im asking to give a summary of specific part of my page but AI is giving a generic summary of whole page"",""include_context"":true,""contact_me"":false}"
6d926306-207d-4dc1-ba4c-da9a45269c79,c8e8e513-8d1e-4f3c-9381-26bcf6cddf75,,021fb6cc-2e29-4347-80bb-159c3d339f00,2026-02-23 20:37:20.63+00,true,Didn't work,"{""badges"":[""Didn't work""],""comment"":"""",""include_context"":true,""contact_me"":false}"
e8f32f74-0948-44e1-98f2-ca8dfe0a7b63,5c9ea139-45f7-4d70-b76a-93b470d86681,,3324d40b-3cc3-44b4-9487-387128619175,2026-02-23 01:15:12.694+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
c1391dfa-a653-4036-9a6a-c648c17633fb,6c7d64bb-e8db-4e22-9c0d-2bd2350a5aad,,2ff07d14-2e9a-4356-99b7-7baca43e7e76,2026-02-22 21:46:43.45+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
e1c11fa6-778b-477f-9cc9-b7b53fd5118a,5c9ea139-45f7-4d70-b76a-93b470d86681,,5354fe7c-a8b9-4199-af10-85fac7083ceb,2026-02-22 04:49:49.616+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
9841022f-f3ed-4601-b236-0b924d2d2904,4a1e277d-4838-4c56-bd84-bf0ab4867ee4,,7f079432-5299-4fda-a90d-a17c6a333dc8,2026-02-19 14:23:01.903+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
f668c113-e727-4721-b88b-cd95134182fa,4a1e277d-4838-4c56-bd84-bf0ab4867ee4,,c5606413-b2fa-4cb8-964d-c1466c59920f,2026-02-19 14:10:45.061+00,true,Confusing,"{""badges"":[""Confusing""],""comment"":""Opened a dictinory instead of a google tab"",""include_context"":true,""contact_me"":false}"
6bf1a0b5-dcd2-4304-b76e-4d7d30ac9509,d9d9e9e1-f3e5-4412-9a87-34a826de2781,,767bcd28-fd16-48c4-99f0-37da9e875c91,2026-02-18 22:59:30.848+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
c64d22a7-dd32-4e36-87f8-1fae37ce248b,42b8912d-0ba5-46a7-aa51-71e1c61c60da,,9a1efc91-e4f3-4464-b144-6d450be5b1aa,2026-02-18 21:32:37.763+00,true,Other,"{""badges"":[],""comment"":""Added whatsapp instead of youtube to bookmark. My prompt was to add youtube as a bookmark"",""include_context"":true,""contact_me"":false}"
8adab8f9-3b40-43de-b862-c9f5d12396e3,e2c6f468-355e-4800-b866-4467999b65c7,,165708a7-6b2d-41cd-a729-27b14df2eb89,2026-02-17 20:11:03.295+00,true,Didn't work,"{""badges"":[""Didn't work""],""comment"":"""",""include_context"":true,""contact_me"":false}"
3980b6ef-b50b-4ac6-b224-0c162d791c15,e2c6f468-355e-4800-b866-4467999b65c7,,1253384b-3326-4d2c-bf1b-2d674e72e378,2026-02-17 20:07:18.374+00,true,Didn't work,"{""badges"":[""Didn't work""],""comment"":"""",""include_context"":true,""contact_me"":false}"
a1e25f60-79cf-45f6-8340-e657efe8cfca,e2c6f468-355e-4800-b866-4467999b65c7,,2cd5fd13-4ca5-4090-9bd0-aec0fe8b46e3,2026-02-17 20:06:37.009+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
3aca76d7-2460-44ff-9fd5-8f422b441425,d9d9e9e1-f3e5-4412-9a87-34a826de2781,,754ecd44-8028-4555-9db9-5e850931bfe9,2026-02-17 19:14:10.01+00,true,Wrong result,"{""badges"":[""Wrong result""],""comment"":""I'm currentlly on a paid plan but it says i reached my limit  Usage limit reached (306/50 units). Please upgrade your plan via the menu."",""include_context"":true,""contact_me"":false}"
37986e4d-bea5-4b31-b41a-680334909d15,5c9ea139-45f7-4d70-b76a-93b470d86681,,0612b88d-1b94-42ff-ae1f-44cb7b7c22e5,2026-02-17 18:36:45.714+00,true,Didn't work,"{""badges"":[""Didn't work""],""comment"":""agent isnt performing web search as requested"",""include_context"":true,""contact_me"":false}"
303a4ed8-4c4e-41bc-87ee-c385718d6eb9,4a1e277d-4838-4c56-bd84-bf0ab4867ee4,,afc1ff05-c3cf-4f17-a9d1-4a7ce3d13aec,2026-02-17 10:27:19.995+00,true,Didn't work,"{""badges"":[""Didn't work""],""comment"":""opened multiple tabs instead of closing the tab."",""include_context"":true,""contact_me"":false}"
c6d1cac0-00e6-4b3b-98c5-feec445cade2,c8e8e513-8d1e-4f3c-9381-26bcf6cddf75,,64b8c2f5-be83-47da-97ac-9e6633597184,2026-02-16 20:02:08.551+00,true,Wrong result,"{""badges"":[""Wrong result"",""Didn't work""],""comment"":""I wanted some networking events to pull up when I put up that command but nothing came up"",""include_context"":true,""contact_me"":false}"
8c07940a-1107-43a9-8ed9-22e27ab1e34a,c8e8e513-8d1e-4f3c-9381-26bcf6cddf75,,e7d2122b-5986-41db-9d48-ee57fd86a0f3,2026-02-16 20:00:30.272+00,false,Helpful,"{""badges"":[],""comment"":"""",""include_context"":true,""contact_me"":false}"
451aa61f-39ed-4656-87ca-b0d354528cc1,4a1e277d-4838-4c56-bd84-bf0ab4867ee4,,2ff2bbee-1352-4194-8e5f-b551f638f2ac,2026-02-16 14:38:55+00,false,testing,testing
